"asc_car","asc_bus","asc_air","asc_rail","asc_bus_shift_female","asc_air_shift_female","asc_rail_shift_female","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_tt_shift_business","b_access","b_cost","b_cost_shift_business","cost_income_elast","b_no_frills","b_wifi","b_food","lambda_PT","lambda_fastPT","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-8196.0205324228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-8196.0205324228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-8196.0205324228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-8196.0205324228
0,-8.386860370636e-11,-2.04472322463989e-12,6.82972501754761e-11,-3.92342186927796e-11,-1.74762725830078e-13,3.31175253868103e-11,4.8468896109581e-09,-3.13208341028214e-08,-9.54641069412232e-11,9.92645392751695e-09,-1.08908380159378e-08,-3.84761856079102e-10,4.64650239849091e-10,1.18065288534165e-09,0,0,3.67656960487366e-11,1.75811243057251e-11,0.999999999960897,1.00000000002501,-8195.99719771605
0,-8.36662834482793e-11,-7.01514937148536e-12,7.5038752831257e-11,-3.90541733983504e-11,-2.28813353948741e-12,3.65932475630174e-11,4.07791524792048e-09,-3.12345335867221e-08,-4.32676310884481e-10,1.09239311543229e-08,-1.17641839518356e-08,-5.14897841288079e-10,-5.68788435721991e-12,1.19821694393521e-09,5.55235298445129e-15,0,4.05467297791494e-11,1.72198056864228e-11,0.999999999942557,1.00000000002395,-8195.99695226734
0,-1.00285044072863e-10,-9.04940509698061e-12,8.97256713538123e-11,-4.68126335991674e-11,-3.01574963917098e-12,4.37806142147327e-11,5.14913500829833e-09,-3.74371775683379e-08,-5.61880392395706e-10,1.30652516001152e-08,-1.40782739525973e-08,-6.50824627037044e-10,-7.92746833707176e-11,1.42293107113835e-09,-4.18503610785684e-15,0,4.86918266818729e-11,2.02380904391094e-11,0.999999999928667,1.00000000002699,-8195.99225601152
0,-9.94518587287978e-11,-3.30411943030804e-11,1.23074662422595e-10,-4.59598857576191e-11,-1.3194033689081e-11,6.09660558146756e-11,1.15811123498602e-09,-3.70520421020321e-08,-2.18451372723417e-09,1.80045587258785e-08,-1.84258588935664e-08,-1.26798608341341e-09,-2.39403844591335e-09,1.51059409420826e-09,-5.04544272958946e-14,0,6.77741101511133e-11,1.86170990194073e-11,0.999999999973923,0.999999999884671,-8195.99102786739
0,1.4224962560849e-06,-1.51690574465548e-05,9.52093452741056e-06,8.45788813928774e-07,-6.47688879140908e-06,5.19117837795028e-06,0.000930673029373663,0.000579094633621927,-0.00102354603687834,0.00145427912179834,-0.00127379752652675,-0.00054934938075766,-0.0015736682790362,-0.000110654096649052,-1.5876867850642e-07,0,7.66590290912848e-06,-4.68896634285052e-06,0.999982064545428,0.999940716619389,-7996.7219138775
0,-6.09161432089677e-06,9.63777869290814e-06,-2.79575327430657e-05,3.70161553519198e-06,1.72794203113978e-05,-2.58453296946898e-06,-0.000837946701217689,-0.00146408945832723,0.00157119740301187,-0.00291325956643977,-0.00434248326596599,-0.000755781370225697,-0.0192211140267176,-0.00373195600447366,-1.73892081409558e-05,0,0.000176027336097868,-5.96365341299381e-05,0.999318741271471,0.999094083782257,-7632.2684583084
0,-1.94645926497907e-05,1.69130109341774e-05,-4.55995185328383e-05,6.71285400826584e-06,3.66500834220832e-05,2.21101790832164e-06,-0.00400088351688267,-0.00525272988769395,0.00301025467030028,-0.00411361762078363,-0.000959783474259391,-0.00178118405263667,-0.0415123939856053,-0.00916936101704466,-5.79982237634523e-05,0,0.00040667887907567,-0.000129543623786715,0.998436884139067,0.997959858342029,-7372.21107201442
0,-4.53047336416573e-05,-3.00184921152196e-05,-7.75169210485272e-05,2.8519629537605e-05,7.57726290200398e-05,2.45077055645136e-05,-0.00743584075770729,-0.008094843524078,-0.00622936244127792,-0.0103476568208841,0.000513200210330596,-0.0079112160148714,-0.0462346223617332,-0.000218608634673007,-0.000798749916447934,0,0.00128708375543734,-0.00030900769131094,0.995871070206479,0.993792769036153,-7296.84636429105
