"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_car",0,NA,NA,NA,NA,NA,NA
"asc_bus",0.415812562471359,0.458199626634101,0.907492146001703,-1.27496270963823,0.434518096574041,0.956951081554104,-1.34444903937182
"asc_air",-0.71162340649509,0.296672887449176,-2.39868028593277,-5.76939612248293,0.289418223131013,-2.45880649392611,-5.91401394141059
"asc_rail",-1.64899886455856,0.296357709364886,-5.56421787741736,-8.93851848914454,0.286503752642216,-5.755592551061,-9.24594822974838
"asc_bus_shift_female",0.273776331130645,0.107705124981173,2.54190625727887,-6.7427029957609,0.116146858528265,2.35715657401118,-6.25263290003341
"asc_air_shift_female",0.236251035615297,0.0767554845803858,3.0779694364104,-9.95041551180399,0.0774192008903673,3.05158194476653,-9.86511040673542
"asc_rail_shift_female",0.180297655732597,0.0677115217372576,2.6627322958744,-12.1058030189915,0.0682382048733396,2.64218052141402,-12.012366764174
"b_tt_car",-0.0105179704396836,0.00072701969205956,-14.4672428471469,-1389.94580404969,0.000730096880733196,-14.4062667808155,-1384.08750551691
"b_tt_bus",-0.0169123610074914,0.00131151549008251,-12.8952811731011,-775.371978979462,0.00126364093612429,-13.38383438207,-804.747877293737
"b_tt_air",-0.012148864748284,0.00195924415166636,-6.20079163587203,-516.601702696133,0.00198513296197784,-6.11992495262369,-509.864519976462
"b_tt_rail",-0.00524048801628367,0.00135836847460755,-3.85792817946375,-740.035201646377,0.00132471021783065,-3.95595047561836,-758.838026978055
"b_tt_shift_business",-0.00587839562698857,0.000501874497007317,-11.7128797379454,-2004.24289663063,0.000466954078088934,-12.58880884186,-2154.12701767949
"b_access",-0.0168556879093417,0.00203401458170915,-8.28690613180271,-499.925466146312,0.00198508422262042,-8.49117015654442,-512.248133515986
"b_cost",-0.0582645636939803,0.0024009569065313,-24.2672259279139,-440.767829199763,0.0024360855806301,-23.9172893420723,-434.411899199477
"b_cost_shift_business",0.0254958834867248,0.00226127761075764,11.2749904591248,-430.952887817595,0.00213759868530843,11.9273480386923,-455.887310939596
"cost_income_elast",-0.626407310963704,0.0312625775278265,-20.036969453531,-52.024095246659,0.0323262279502957,-19.3776803135478,-50.3123133779928
"b_no_frills",0,NA,NA,NA,NA,NA,NA
"b_wifi",0.756686203507579,0.0459441112099677,16.4697103411027,-5.29586469483456,0.0471845395435459,16.0367402294823,-5.15664238426805
"b_food",0.323338209497416,0.0392728090298753,8.23313171338086,-17.229778241425,0.0422870137061531,7.64627674454032,-16.0016452144059
"lambda_PT",0.69603783828571,0.0389456937112954,17.8720102778356,-7.80476948151349,0.0381633237693012,18.2383966997552,-7.96477171516175
"lambda_fastPT",0.587073372402735,0.0304759660052309,19.2634869162792,-13.5492547644393,0.0293903987332919,19.9750053658758,-14.0497116539465
